trID;time;oldVer;newVer;#oldT;#newT;#oldA;#newA;tIns;tDel;aIns;aDel;aTypeAlt;keyAlt;aTabIns;aTabDel
1;1475185413;1460670767.sql;1475185413.sql;10;0;70;0;0;10;0;0;0;0;0;70
2;1478056828;1475185413.sql;1478056828.sql;0;0;0;0;0;0;0;0;0;0;0;0
3;1478056867;1478056828.sql;1478056867.sql;0;0;0;0;0;0;0;0;0;0;0;0
4;1479674104;1478056867.sql;1479674104.sql;0;0;0;0;0;0;0;0;0;0;0;0
5;1479678735;1479674104.sql;1479678735.sql;0;0;0;0;0;0;0;0;0;0;0;0
6;1484337321;1479678735.sql;1484337321.sql;0;0;0;0;0;0;0;0;0;0;0;0
7;1485912032;1484337321.sql;1485912032.sql;0;0;0;0;0;0;0;0;0;0;0;0
