table;dur;birth;death;chngs;s@s;s@e;sAvg
php_session;1;0;0;0;5;5;5.0
tbl_email;1;0;0;0;6;6;6.0
tbl_feed;1;0;0;0;6;6;6.0
tbl_group;1;0;0;0;4;4;4.0
tbl_layer;1;0;0;0;7;7;7.0
tbl_layer_subscription;1;0;0;0;4;4;4.0
tbl_search_suggest;1;0;0;0;3;3;3.0
tbl_ssshout;1;0;0;0;18;18;18.0
tbl_subdomain;1;0;0;0;6;6;6.0
tbl_user;1;0;0;0;11;11;11.0
