trID;oldVer;newVer;Table;EventType;attrName;attrType;iskey;pkey;fkey
1;1380551792.sql;1380627654.sql;-;-;-;-;-;-;-
2;1380627654.sql;1428938083.sql;-;-;-;-;-;-;-
