trID;time;oldVer;newVer;#oldT;#newT;#oldA;#newA;tIns;tDel;aIns;aDel;aTypeAlt;keyAlt;aTabIns;aTabDel
1;1380627654;1380551792.sql;1380627654.sql;0;0;0;0;0;0;0;0;0;0;0;0
2;1428938083;1380627654.sql;1428938083.sql;0;0;0;0;0;0;0;0;0;0;0;0
