table;dur;birth;death;chngs;s@s;s@e;sAvg
ActivatedWarranties;2;0;1;0;6;6;6.0
CurtDev;5;2;-;0;0;0;0.0
Survey;2;0;1;0;6;6;6.0
SurveyQuestion;2;0;1;0;8;8;8.0
SurveyQuestion_Revisions;2;0;1;0;11;11;11.0
Survey_Revisions;2;0;1;0;7;7;7.0
