;0;1;2;3;4;5;6;
ActivatedWarranties;0;0;-;-;-;-;-;
CurtDev;-;-;0;0;0;0;0;
Survey;0;0;-;-;-;-;-;
SurveyQuestion;0;0;-;-;-;-;-;
SurveyQuestion_Revisions;0;0;-;-;-;-;-;
Survey_Revisions;0;0;-;-;-;-;-;
