trID;time;oldVer;newVer;#oldT;#newT;#oldA;#newA;tIns;tDel;aIns;aDel;aTypeAlt;keyAlt;aTabIns;aTabDel
1;1398921225;1398883546.sql;1398921225.sql;5;5;38;38;0;0;0;0;0;0;0;0
2;1399064180;1398921225.sql;1399064180.sql;5;1;38;0;1;5;0;0;0;0;0;38
3;1399387229;1399064180.sql;1399387229.sql;1;1;0;0;0;0;0;0;0;0;0;0
4;1399560904;1399387229.sql;1399560904.sql;1;1;0;0;0;0;0;0;0;0;0;0
5;1400011516;1399560904.sql;1400011516.sql;1;1;0;0;0;0;0;0;0;0;0;0
6;1400179756;1400011516.sql;1400179756.sql;1;1;0;0;0;0;0;0;0;0;0;0
